Compartment,ETL,Sens
Crayfish,2.14,0.99
Mesoinvertebrates,2.15,1.12
Other Macroinvertebrates,2.12,1.15
Flagfish,2.00,1.27
Poecilids,2.20,1.47
Labile detritus,1.00,1.55
Refractory detritus,1.00,1.59
Apple snail,2.12,1.60
Tadpoles,2.03,1.63
Periphyton,1.00,1.66
Macrophytes,1.00,1.66
Floating Vegetation,1.00,1.66
Utricularia,1.03,1.69
Lizards,3.83,1.79
Freshwater prawn,2.27,2.12
Ducks,2.20,2.32
Bluefin killifish,2.57,2.34
Other small fishes,2.48,2.44
Sediment carbon,1.00,2.44
Living sediments,2.00,2.58
Mosquitofishes,2.47,2.64
Living POC,2.00,2.80
Chubsuckers,2.50,2.86
Shiners & Minnows,2.68,3.60
Gruiformes,2.01,3.76
Muskrats,2.00,3.83
White-Tailed Deer,2.00,3.83
Terrestrial invertebrates,2.00,3.91
Rabbits,2.00,5.10
Killifishes,2.81,5.13
Turtles,2.74,5.57
Large aquatic insects,2.96,5.63
Salamander larvae,2.57,5.64
Grebes,2.63,5.79
Other centrarchids,3.02,6.59
Rats & Mice,2.27,6.66
Raccoons,2.59,6.72
Opossum,2.45,6.77
Pigmy sunfish,3.09,6.79
Bluespotted sunfish,3.09,6.83
Dollar sunfish,3.09,6.87
Seaside sparrow,2.57,7.10
Passerines,2.96,7.16
Topminnows,3.10,7.47
Redear sunfish,3.13,9.09
Catfish,3.11,9.21
Spotted sunfish,3.16,9.32
Warmouth,3.21,9.42
Mink,3.41,9.53
Snakes,3.32,9.66
Otter,3.34,9.71
Bitterns,3.25,9.75
Alligators,3.39,9.96
Large frogs,3.29,10.19
Small frogs,3.17,10.33
Other large fishes,3.27,10.69
Largemouth bass,3.24,10.92
Medium frogs,3.16,10.93
Gar,3.45,10.96
Cichlids,3.22,10.98
Fishing spider,3.27,11.77
Bobcat,3.02,12.01
Salamanders,3.32,12.29
Panthers,3.17,12.33
Snailkites,3.13,14.38
Nighthawks,3.00,14.69
